food_category_id,name,subname,priority,reference_amount,calorie,protein,fat,carbohydrate,potassium,calcium,magnesium,phosphorus,iron,zinc,copper,manganese,iodine,selenium,chromium,molybdenum,vitamin_a,vitamin_d,vitamin_e,vitamin_k,vitamin_b1,vitamin_b2,niacin,vitamin_b6,vitamin_b12,folate,pantothenic_acid,biotin,vitamin_c
1,沖縄そば,ゆで,0,1.00,132.000,5.100,0.700,26.700,80.000,9.000,28.000,28.000,0.400,0.600,0.100,0.370,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.010,0.020,1.200,0.030,0.000,6.000,0.230,0.000,0.000
1,釜焼きふ,,0,1.00,357.000,26.800,2.300,55.200,120.000,33.000,43.000,130.000,3.300,2.200,0.320,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.160,0.070,9.000,0.080,0.000,16.000,0.580,0.000,0.000
1,乾パン,,0,1.00,386.000,8.700,4.000,76.800,160.000,30.000,27.000,95.000,1.200,0.600,0.180,0.820,0.000,0.000,0.000,0.000,0.000,0.000,1.100,0.000,0.140,0.060,2.800,0.060,0.000,20.000,0.410,0.000,0.000
1,干しうどん,ゆで,0,1.00,117.000,2.900,0.400,25.400,14.000,7.000,4.000,24.000,0.200,0.100,0.040,0.140,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.020,0.010,0.800,0.010,0.000,2.000,0.140,0.000,0.000
1,干しそば,ゆで,0,1.00,113.000,3.900,0.600,21.600,13.000,12.000,33.000,72.000,0.900,0.400,0.100,0.330,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.080,0.020,1.600,0.050,0.000,5.000,0.220,0.000,0.000
1,干し沖縄そば,ゆで,0,1.00,132.000,5.100,0.500,27.200,10.000,11.000,8.000,36.000,0.500,0.100,0.050,0.160,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.020,1.200,0.010,0.000,3.000,0.180,0.000,0.000
1,干し中華めん,ゆで,0,1.00,132.000,4.800,0.400,25.100,42.000,13.000,10.000,29.000,0.400,0.200,0.050,0.180,0.000,9.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,1.100,0.010,0.000,3.000,0.250,0.500,0.000
1,強力粉,全粒粉,0,1.00,320.000,11.700,2.400,58.600,330.000,26.000,140.000,310.000,3.100,3.000,0.420,4.020,0.000,47.000,3.000,44.000,0.000,0.000,1.000,0.000,0.340,0.090,8.500,0.330,0.000,48.000,1.270,11.000,0.000
1,強力粉,2等,0,1.00,343.000,11.900,1.500,69.500,86.000,21.000,36.000,86.000,1.000,1.000,0.190,0.580,0.000,49.000,1.000,30.000,0.000,0.000,0.500,0.000,0.130,0.040,3.600,0.080,0.000,18.000,0.930,2.600,0.000
1,強力粉,1等,0,1.00,337.000,11.000,1.300,70.100,89.000,17.000,23.000,64.000,0.900,0.800,0.150,0.320,0.000,39.000,1.000,26.000,0.000,0.000,0.300,0.000,0.090,0.040,3.100,0.060,0.000,16.000,0.770,1.700,0.000
1,玄米,,5,1.50,152.000,2.400,0.900,34.700,95.000,7.000,49.000,130.000,0.600,0.800,0.120,1.040,0.000,1.000,0.000,34.000,0.000,0.000,0.500,0.000,0.160,0.020,3.600,0.210,0.000,10.000,0.650,2.500,0.000
1,玄米粉,,0,1.00,370.000,5.400,2.500,82.600,230.000,12.000,110.000,290.000,1.400,2.400,0.300,2.490,1.000,2.000,6.000,120.000,0.000,0.000,1.200,0.000,0.000,0.030,6.100,0.080,0.000,9.000,0.120,5.100,0.000
1,車ふ,,0,1.00,361.000,27.800,2.900,54.400,130.000,25.000,53.000,130.000,4.200,2.700,0.420,1.230,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.000,0.120,0.070,8.700,0.070,0.000,11.000,0.470,0.000,0.000
1,春巻きの皮,,0,1.00,288.000,0.000,0.000,57.700,77.000,13.000,13.000,54.000,0.300,0.300,0.090,0.230,1.000,18.000,1.000,12.000,0.000,0.000,0.000,1.000,0.030,0.010,2.000,0.030,0.000,9.000,0.180,0.900,0.000
1,春巻きの皮,揚げ,0,1.00,512.000,0.000,0.000,49.500,66.000,11.000,11.000,48.000,0.300,0.300,0.090,0.200,0.000,16.000,1.000,11.000,0.000,0.000,4.900,47.000,0.020,0.010,1.800,0.020,0.000,8.000,0.180,0.800,0.000
1,小麦（国産）,玄穀 / 普通,0,1.00,329.000,9.500,2.500,59.800,440.000,26.000,82.000,350.000,3.200,2.600,0.380,3.900,1.000,3.000,1.000,29.000,0.000,0.000,1.200,0.000,0.410,0.090,8.900,0.350,0.000,38.000,1.030,7.500,0.000
1,小麦（輸入）,玄穀 / 硬質,0,1.00,332.000,0.000,2.500,58.500,340.000,26.000,140.000,320.000,3.200,3.100,0.430,4.090,0.000,54.000,1.000,47.000,0.000,0.000,1.200,0.000,0.350,0.090,8.000,0.340,0.000,49.000,1.290,11.000,0.000
1,小麦（輸入）,玄穀 / 軟質,0,1.00,344.000,0.000,2.700,64.600,390.000,36.000,110.000,290.000,2.900,1.700,0.320,3.790,0.000,5.000,1.000,19.000,0.000,0.000,1.200,0.000,0.490,0.090,6.700,0.340,0.000,40.000,1.070,9.600,0.000
1,小麦たんぱく,粉末状,0,1.00,398.000,71.200,6.700,12.000,90.000,75.000,75.000,180.000,6.600,5.000,0.750,2.670,0.000,0.000,0.000,0.000,1.000,0.000,1.100,0.000,0.030,0.120,17.000,0.100,0.000,34.000,0.610,0.000,0.000
1,小麦たんぱく,ペースト状,0,1.00,145.000,24.200,2.800,5.500,39.000,30.000,54.000,160.000,3.000,2.400,0.360,1.570,0.000,0.000,0.000,0.000,1.000,0.000,1.700,0.000,0.200,0.030,7.200,0.040,0.000,17.000,0.450,0.000,0.000
1,小麦たんぱく,粒状,0,1.00,101.000,19.400,1.400,2.600,3.000,14.000,16.000,54.000,1.800,1.400,0.220,0.620,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.020,0.010,4.800,0.010,0.000,5.000,0.000,0.000,0.000
1,小麦はいが,,0,1.00,391.000,26.500,10.400,40.700,1100.000,42.000,310.000,1100.000,9.400,16.000,0.890,0.000,0.000,0.000,0.000,0.000,5.000,0.000,28.000,2.000,1.820,0.710,10.000,1.240,0.000,390.000,1.340,0.000,0.000
1,小麦粉,から揚げ用,0,1.00,311.000,9.200,1.000,68.600,280.000,110.000,39.000,130.000,1.200,0.700,0.100,0.960,1.000,6.000,6.000,23.000,5.000,0.000,0.300,2.000,0.150,0.070,2.800,0.120,0.000,26.000,0.330,4.300,0.000
1,小麦粉,お好み焼き用,0,1.00,335.000,9.000,1.800,72.700,210.000,64.000,31.000,320.000,1.000,0.700,0.130,0.920,1400.000,8.000,3.000,15.000,1.000,0.100,0.600,1.000,0.210,0.030,3.300,0.070,0.100,17.000,0.410,2.400,0.000
1,小麦粉,天ぷら用,0,1.00,337.000,8.200,1.100,74.600,160.000,140.000,19.000,120.000,0.600,0.500,0.120,0.620,1.000,3.000,2.000,10.000,1.000,0.000,0.300,0.000,0.120,0.990,2.700,0.060,0.000,12.000,0.350,1.300,0.000
1,小麦粉,ホットケーキ用,0,1.00,360.000,7.100,3.600,74.200,230.000,100.000,12.000,170.000,0.500,0.300,0.070,0.000,0.000,3.000,5.000,11.000,9.000,0.100,0.500,1.000,0.100,0.080,2.200,0.040,0.100,10.000,0.480,1.500,0.000
1,焼きおにぎり,,0,1.00,166.000,2.700,0.300,39.500,56.000,5.000,11.000,46.000,0.200,0.700,0.100,0.370,25.000,4.000,1.000,43.000,0.000,0.000,0.000,0.000,0.030,0.020,1.100,0.030,0.000,5.000,0.290,1.100,0.000
1,上新粉,,0,1.00,343.000,5.400,0.800,78.800,89.000,5.000,23.000,96.000,0.800,1.000,0.190,0.750,1.000,4.000,1.000,77.000,0.000,0.000,0.200,0.000,0.090,0.020,2.700,0.120,0.000,12.000,0.670,1.100,0.000
1,食パン,,0,1.00,248.000,7.400,3.700,44.100,86.000,22.000,18.000,67.000,0.500,0.500,0.090,0.250,1.000,22.000,1.000,15.000,0.000,0.000,0.400,0.000,0.070,0.050,2.600,0.030,0.000,30.000,0.420,2.300,0.000
1,生パスタ,,0,1.00,232.000,7.500,1.700,45.900,76.000,12.000,18.000,73.000,0.500,0.500,0.120,0.320,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.050,0.040,2.600,0.050,0.000,9.000,0.270,0.000,0.000
1,生ふ,,0,1.00,161.000,11.700,0.700,26.800,30.000,13.000,18.000,60.000,1.300,1.800,0.250,1.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.080,0.030,2.900,0.020,0.000,7.000,0.120,0.000,0.000
